Vert_Group,Genus,Species,Common_name,Latitude,Longitude,Elevation,Year_final,Breeding_Cycle,Moult,Life_Stage,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,MajorStressPop,Male_A_Mean,fem_A_Mean,Male_BC_Mean,fem_BC_Mean,Male_SC_Mean,fem_SC_Mean,Ref_ID
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.3186,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.4956,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.0779,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.1974,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.2858,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.2968,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.4461,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.6562,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.7471,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.8986,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,0.9482,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.0262,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.0317,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.1294,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.2235,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.4114,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.4605,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.6143,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,1.6542,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,2.0223,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,2.0253,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,2.5594,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,3.7294,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,4.3524,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,4.4557,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,5.4763,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,5.5398,,,,,,208
Mammal,Ursus,americanus,Black bear,36.5,-76.4972,340,1986,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,7.053,,,,,,208
Mammal,Ursus,americanus,Black bear,47.67,-93.5,420,1992,"Breeding, Nonbreeding",,,Trap,Anesthetized,30,,,,8.7259,,,,,,208
Mammal,Papio,cynocephalus,Savannah baboon,-2.65,37.26,1130,1990,,,,Tranquilizer,Anesthetized,,15,,habitat fragmentation,,,126.7,124,,,228
Mammal,Papio,cynocephalus,Savannah baboon,-2.65,37.26,1130,1990,,,,Tranquilizer,Anesthetized,,15,,habitat fragmentation,,,210.8,250.1,,,228
Mammal,Crocuta,crocuta,Spotted hyena,-2.33,34.83,1490,1997,Breeding,,,Tranquilizer,,38,,,,3.0705,,,,,,210
Mammal,Crocuta,crocuta,Spotted hyena,-2.33,34.83,1490,1997,Breeding,,,Tranquilizer,,38,,,,6.355,,,,,,210
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.15,0.18,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.27,0.18,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.16,0.2,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.2,0.2,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,Postbreeding,Fishing,Passive,5,,,,0.39,0.25,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.265,0.3,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,,0.3,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,,Fishing,Passive,5,,,,0.285,0.4,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,Prebreeding,Fishing,Passive,5,,,,0.325,0.4,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,Postbreeding,Fishing,Passive,5,,,,0.51,0.45,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,Prebreeding,Fishing,Passive,5,,,,1.22,0.68,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Nonbreeding,,Postbreeding,Fishing,Passive,5,,,,1.31,1.33,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,0.55,1.5,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,Prebreeding,Fishing,Passive,5,,,,1.12,1.7,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,1.2,1.9,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,,2.4,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,1.05,2.85,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,3.1,2.85,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.55,60,1997,Breeding,,,Fishing,Passive,5,,,,1.16,3,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,1.2,3.3,,,,,602
Fish,Acanthopagrus,butcheri,Southern black bream,-42.4,148.7,60,1996,Breeding,,Prebreeding,Fishing,Passive,5,,,,1.5,4.05,,,,,602
Fish,Oncorhynchus,mykiss,Rainbow trout,-39.015,175.48,420,1992,Breeding,,Migration to spawning areas,Fishing,Passive,15,,,,,127,,,,,594
Fish,Oncorhynchus,mykiss,Rainbow trout,-39.015,175.48,420,1992,Breeding,,Migration to spawning areas,Fishing,Passive,,5,,,,,20.5,31.8,,,594
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2007,Breeding,,Incubation,Fishing,Active,3,3,,,1.16,,4.85,,,,555
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2007,Breeding,,Incubation,Fishing,Active,3,3,,,1.16,,4.23,,,,555
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2007,Breeding,,Incubation,Fishing,Active,3,3,,,1.31,,6.3,,,,555
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2007,Breeding,,Incubation,Fishing,Active,3,3,,,2.03,,2.75,,,,555
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2012,Breeding,,Incubation,Fishing,Active,,1,120,,,,19.44,,63.89,,556
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2012,Breeding,,Young care,Fishing,Active,,1,120,,,,2.78,,169.44,,556
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2008,Breeding,,Incubation,Fishing,Active,5,5,,,1.39,,1.8,,,,558
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2008,Breeding,,Incubation,Fishing,Active,5,5,,,3.1,,1.8,,,,558
Fish,Micropterus,salmoides,Largemouth bass,44.6781,-76.761,185,2007,Breeding,,Incubation,Fishing,Active,,2,,,,,262.63,,,,559
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2009,Breeding,,Incubation,Fishing,Active,,,28,,,,1.98,,81.29,,560
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2009,Breeding,,Incubation,Fishing,Active,,,28,,,,2.2,,143.38,,560
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2009,Breeding,,Young care,Fishing,Active,,,28,,,,4.56,,205.33,,560
Fish,Micropterus,dolomieu,Smallmouth bass,44.5344,-75.994,85,2009,Nonbreeding,,,Fishing,Active,,,28,,,,3.11,,221.55,,560
